curve,x,y
1:1 - circle/ellipse (delta = pi/4),0.7071067811865475,0.0
1:1 - circle/ellipse (delta = pi/4),0.7126454147793039,0.007863730349406434
1:1 - circle/ellipse (delta = pi/4),0.7181399789418661,0.015726974411932305
1:1 - circle/ellipse (delta = pi/4),0.7235901338947213,0.023589245930768655
1:1 - circle/ellipse (delta = pi/4),0.7289955426045872,0.031450058709247844
1:1 - circle/ellipse (delta = pi/4),0.734355870805254,0.039308926640909604
1:1 - circle/ellipse (delta = pi/4),0.7396707870182547,0.04716536373956145
1:1 - circle/ellipse (delta = pi/4),0.7449399625733641,0.055018884169331685
1:1 - circle/ellipse (delta = pi/4),0.7501630716289233,0.06286900227471312
1:1 - circle/ellipse (delta = pi/4),0.7553397911919888,0.07071523261059565
1:1 - circle/ellipse (delta = pi/4),0.7604698011383074,0.0785570899722857
1:1 - circle/ellipse (delta = pi/4),0.7655527842321113,0.08639408942551105
1:1 - circle/ellipse (delta = pi/4),0.7705884261457363,0.09422574633640868
1:1 - circle/ellipse (delta = pi/4),0.7755764154790594,0.1020515764014941
1:1 - circle/ellipse (delta = pi/4),0.7805164437787558,0.10987109567761048
1:1 - circle/ellipse (delta = pi/4),0.7854082055573728,0.11768382061185514
1:1 - circle/ellipse (delta = pi/4),0.7902513983122215,0.12548926807148214
1:1 - circle/ellipse (delta = pi/4),0.795045722544083,0.13328695537377883
1:1 - circle/ellipse (delta = pi/4),0.7997908817757294,0.14107640031591462
1:1 - circle/ellipse (delta = pi/4),0.8044865825702578,0.14885712120475988
1:1 - circle/ellipse (delta = pi/4),0.8091325345492356,0.1566286368866736
1:1 - circle/ellipse (delta = pi/4),0.8137284504106581,0.16439046677725752
1:1 - circle/ellipse (delta = pi/4),0.8182740459467145,0.17214213089107508
1:1 - circle/ellipse (delta = pi/4),0.8227690400613629,0.17988314987133325
1:1 - circle/ellipse (delta = pi/4),0.8272131547877138,0.1876130450195258
1:1 - circle/ellipse (delta = pi/4),0.831606115305219,0.19533133832503533
1:1 - circle/ellipse (delta = pi/4),0.8359476499566658,0.20303755249469338
1:1 - circle/ellipse (delta = pi/4),0.8402374902649767,0.21073121098229566
1:1 - circle/ellipse (delta = pi/4),0.8444753709498117,0.21841183801807135
1:1 - circle/ellipse (delta = pi/4),0.8486610299439726,0.22607895863810437
1:1 - circle/ellipse (delta = pi/4),0.8527942084096098,0.23373209871370465
1:1 - circle/ellipse (delta = pi/4),0.856874650754228,0.2413707849807281
1:1 - circle/ellipse (delta = pi/4),0.8609021046464915,0.24899454506884255
1:1 - circle/ellipse (delta = pi/4),0.8648763210318297,0.25660290753073917
1:1 - circle/ellipse (delta = pi/4),0.8687970541478365,0.264195401871286
1:1 - circle/ellipse (delta = pi/4),0.8726640615394694,0.27177155857662333
1:1 - circle/ellipse (delta = pi/4),0.8764771040740423,0.27933090914319786
